candidate_id,gender,gender_code,experience,test_score,education_level,education_code,hired
CAN_0136,Male,0,9,75,Master,1,1
CAN_0137,Female,1,1,84,Master,1,0
CAN_0138,Female,1,5,30,Master,1,0
CAN_0139,Male,0,14,68,Bachelor,0,1
CAN_0140,Female,1,15,68,PhD,2,1
CAN_0141,Female,1,9,63,Bachelor,0,1
CAN_0142,Male,0,15,74,Bachelor,0,1
CAN_0143,Male,0,1,79,Bachelor,0,1
CAN_0144,Male,0,9,72,Bachelor,0,1
CAN_0145,Male,0,8,64,PhD,2,1
CAN_0146,Male,0,4,79,Bachelor,0,1
CAN_0147,Female,1,12,70,Bachelor,0,1
CAN_0148,Female,1,11,66,PhD,2,1
CAN_0149,Male,0,10,50,Bachelor,0,0
CAN_0150,Male,0,5,46,Bachelor,0,0
CAN_0151,Female,1,13,50,Bachelor,0,1
CAN_0152,Male,0,5,74,Bachelor,0,1
CAN_0153,Male,0,11,68,Bachelor,0,1
CAN_0154,Male,0,12,47,Master,1,1
CAN_0155,Female,1,6,79,Bachelor,0,1
CAN_0156,Male,0,7,90,Bachelor,0,1
CAN_0157,Female,1,8,61,Master,1,1
CAN_0158,Female,1,15,43,Master,1,1
CAN_0159,Male,0,14,59,Bachelor,0,1
CAN_0160,Female,1,8,82,Master,1,1
CAN_0161,Male,0,11,78,Bachelor,0,1
CAN_0162,Female,1,14,56,Bachelor,0,1
CAN_0163,Female,1,13,92,Master,1,1
CAN_0164,Female,1,2,90,Bachelor,0,0
CAN_0165,Male,0,9,59,PhD,2,1
CAN_0166,Female,1,7,58,Bachelor,0,1
CAN_0167,Male,0,4,61,Master,1,1
CAN_0168,Male,0,4,62,Bachelor,0,1
CAN_0169,Male,0,11,84,Master,1,1
CAN_0170,Female,1,8,76,Master,1,1
CAN_0171,Female,1,4,83,PhD,2,1
CAN_0172,Male,0,13,80,Bachelor,0,1
CAN_0173,Female,1,15,95,Master,1,1
CAN_0174,Male,0,6,54,Master,1,1
CAN_0175,Female,1,5,75,Master,1,1
CAN_0176,Male,0,3,37,Master,1,0
CAN_0177,Female,1,13,50,Master,1,1
CAN_0178,Male,0,14,68,Bachelor,0,1
CAN_0179,Female,1,10,76,Bachelor,0,1
CAN_0180,Male,0,11,68,Bachelor,0,1
CAN_0181,Male,0,2,61,Bachelor,0,0
CAN_0182,Male,0,9,64,PhD,2,1
CAN_0183,Female,1,10,90,Master,1,1
CAN_0184,Female,1,9,64,PhD,2,1
CAN_0185,Male,0,1,96,Bachelor,0,0
CAN_0186,Female,1,10,81,PhD,2,1
CAN_0187,Female,1,3,76,PhD,2,0
CAN_0188,Female,1,8,52,Master,1,1
CAN_0189,Female,1,6,84,Master,1,1
CAN_0190,Male,0,5,62,Bachelor,0,1
CAN_0191,Male,0,5,52,PhD,2,1
CAN_0192,Female,1,6,77,Master,1,1
CAN_0193,Female,1,15,49,Bachelor,0,1
CAN_0194,Female,1,7,58,Bachelor,0,1
CAN_0195,Male,0,1,69,PhD,2,1
CAN_0196,Male,0,9,100,PhD,2,1
CAN_0197,Female,1,3,59,PhD,2,1
CAN_0198,Female,1,4,63,Master,1,0
CAN_0199,Female,1,10,80,Bachelor,0,1
CAN_0200,Female,1,1,51,Bachelor,0,0
CAN_0201,Female,1,13,76,Bachelor,0,1
CAN_0202,Male,0,11,88,Bachelor,0,1
CAN_0203,Male,0,10,65,Bachelor,0,1
CAN_0204,Female,1,3,85,Bachelor,0,1
CAN_0205,Female,1,2,74,Bachelor,0,0
CAN_0206,Male,0,2,59,PhD,2,0
CAN_0207,Male,0,14,67,Bachelor,0,1
CAN_0208,Female,1,1,64,PhD,2,0
CAN_0209,Male,0,8,68,Master,1,1
CAN_0210,Male,0,3,72,Bachelor,0,1
CAN_0211,Female,1,3,78,Bachelor,0,0
CAN_0212,Female,1,6,77,Bachelor,0,1
CAN_0213,Female,1,13,33,Bachelor,0,1
CAN_0214,Male,0,8,68,Master,1,1
CAN_0215,Female,1,13,47,Bachelor,0,1
CAN_0216,Male,0,15,65,Bachelor,0,1
CAN_0217,Male,0,9,68,Bachelor,0,1
CAN_0218,Female,1,9,84,PhD,2,1
CAN_0219,Female,1,4,69,Master,1,1
CAN_0220,Female,1,14,73,Master,1,1
CAN_0221,Female,1,5,81,Bachelor,0,0
CAN_0222,Female,1,2,88,Master,1,1
CAN_0223,Male,0,11,68,Master,1,0
CAN_0224,Male,0,9,71,Master,1,1
CAN_0225,Male,0,8,70,PhD,2,1
CAN_0226,Male,0,3,61,Bachelor,0,0
CAN_0227,Female,1,11,58,PhD,2,1
CAN_0228,Male,0,12,35,PhD,2,1
CAN_0229,Female,1,13,53,Bachelor,0,1
CAN_0230,Female,1,9,43,Bachelor,0,1
CAN_0231,Female,1,3,88,PhD,2,1
CAN_0232,Female,1,9,72,Bachelor,0,0
CAN_0233,Female,1,2,68,Master,1,1
CAN_0234,Male,0,12,59,PhD,2,1
CAN_0235,Male,0,10,70,Master,1,1
CAN_0236,Female,1,9,57,Bachelor,0,0
CAN_0237,Male,0,15,72,Master,1,1
CAN_0238,Male,0,8,73,Bachelor,0,1
CAN_0239,Female,1,9,57,Master,1,1
CAN_0240,Male,0,5,56,Bachelor,0,1
CAN_0241,Female,1,11,84,Master,1,1
CAN_0242,Female,1,11,69,Master,1,1
CAN_0243,Female,1,2,58,Master,1,0
CAN_0244,Male,0,8,64,Master,1,1
CAN_0245,Male,0,12,54,Master,1,1
CAN_0246,Female,1,15,68,Master,1,1
CAN_0247,Male,0,6,82,Bachelor,0,1
CAN_0248,Female,1,8,69,Master,1,1
CAN_0249,Female,1,11,100,Bachelor,0,1
CAN_0250,Female,1,5,76,PhD,2,1
CAN_0251,Male,0,10,73,Bachelor,0,1
CAN_0252,Male,0,2,56,Bachelor,0,0
CAN_0253,Female,1,6,66,Master,1,0
CAN_0254,Male,0,5,58,Bachelor,0,0
CAN_0255,Male,0,12,37,Bachelor,0,1
CAN_0256,Female,1,13,84,Master,1,1
CAN_0257,Female,1,12,62,Master,1,1
CAN_0258,Female,1,5,58,Master,1,0
CAN_0259,Female,1,13,73,Bachelor,0,1
CAN_0260,Male,0,1,77,Master,1,0
CAN_0261,Female,1,2,65,Bachelor,0,0
CAN_0262,Female,1,8,69,Master,1,1
CAN_0263,Male,0,13,81,Master,1,1
CAN_0264,Female,1,14,64,Master,1,0
CAN_0265,Female,1,13,74,Bachelor,0,1
CAN_0266,Female,1,3,45,Bachelor,0,0
CAN_0267,Female,1,10,51,Bachelor,0,0
CAN_0268,Female,1,3,79,Bachelor,0,0
CAN_0269,Male,0,8,50,Bachelor,0,1
CAN_0270,Male,0,8,73,Master,1,1
CAN_0271,Female,1,2,67,Bachelor,0,0
CAN_0272,Female,1,8,64,PhD,2,0
CAN_0273,Female,1,11,57,Bachelor,0,1
CAN_0274,Female,1,13,83,Master,1,1
CAN_0275,Female,1,13,95,Master,1,1
CAN_0276,Female,1,1,74,Bachelor,0,0
CAN_0277,Female,1,6,74,Bachelor,0,1
CAN_0278,Female,1,8,59,Master,1,1
CAN_0279,Female,1,3,52,Bachelor,0,0
CAN_0280,Female,1,8,69,PhD,2,1
CAN_0281,Female,1,12,55,Master,1,1
CAN_0282,Male,0,1,43,PhD,2,0
CAN_0283,Male,0,11,82,Bachelor,0,1
CAN_0284,Male,0,11,82,Master,1,1
CAN_0285,Female,1,9,57,Master,1,1
CAN_0286,Male,0,13,73,Master,1,1
CAN_0287,Male,0,11,85,Bachelor,0,1
CAN_0288,Female,1,13,73,Master,1,1
CAN_0289,Male,0,9,52,Bachelor,0,0
CAN_0290,Female,1,5,66,Master,1,1
CAN_0291,Male,0,10,89,Bachelor,0,1
CAN_0292,Male,0,4,73,PhD,2,1
CAN_0293,Female,1,15,78,Bachelor,0,1
CAN_0294,Male,0,11,75,PhD,2,1
CAN_0295,Male,0,6,57,PhD,2,1
CAN_0296,Female,1,12,60,PhD,2,1
CAN_0297,Female,1,7,75,Master,1,0
CAN_0298,Male,0,5,82,Bachelor,0,1
CAN_0299,Female,1,11,86,PhD,2,1
CAN_0300,Male,0,13,57,Bachelor,0,1
CAN_0301,Male,0,10,76,Master,1,1
CAN_0302,Female,1,9,87,Master,1,1
CAN_0303,Female,1,3,55,Master,1,0
CAN_0304,Female,1,15,92,Bachelor,0,1
CAN_0305,Female,1,7,94,Master,1,0
CAN_0306,Female,1,10,100,PhD,2,1
CAN_0307,Female,1,10,73,Bachelor,0,0
CAN_0308,Male,0,11,73,PhD,2,1
CAN_0309,Female,1,5,82,Bachelor,0,0
CAN_0310,Male,0,14,81,Bachelor,0,1
CAN_0311,Male,0,7,86,Bachelor,0,0
CAN_0312,Male,0,15,81,Bachelor,0,1
CAN_0313,Male,0,2,68,PhD,2,1
CAN_0314,Female,1,4,88,Bachelor,0,1
CAN_0315,Female,1,2,53,Bachelor,0,0
CAN_0316,Female,1,14,70,Bachelor,0,1
CAN_0317,Male,0,13,93,Master,1,1
CAN_0318,Male,0,13,51,Master,1,1
CAN_0319,Male,0,12,59,Bachelor,0,1
CAN_0320,Male,0,7,80,Bachelor,0,1
CAN_0321,Female,1,2,75,PhD,2,0
CAN_0322,Female,1,13,56,Bachelor,0,1
CAN_0323,Female,1,14,63,Bachelor,0,0
CAN_0324,Male,0,11,52,Bachelor,0,1
CAN_0325,Female,1,1,84,Master,1,0
CAN_0326,Female,1,9,66,Bachelor,0,1
CAN_0327,Female,1,1,96,Master,1,1
CAN_0328,Female,1,8,71,Bachelor,0,0
CAN_0329,Male,0,15,66,PhD,2,1
CAN_0330,Male,0,2,65,Bachelor,0,1
CAN_0331,Male,0,12,66,Master,1,1
CAN_0332,Female,1,8,71,Bachelor,0,1
CAN_0333,Male,0,13,100,Bachelor,0,1
CAN_0334,Male,0,3,64,Master,1,0
CAN_0335,Male,0,6,65,Bachelor,0,1
CAN_0336,Male,0,3,70,PhD,2,1
CAN_0337,Female,1,14,86,PhD,2,1
CAN_0338,Female,1,7,48,PhD,2,0
CAN_0339,Male,0,10,76,Bachelor,0,1
CAN_0340,Male,0,9,57,Master,1,1
CAN_0341,Male,0,2,78,Bachelor,0,1
CAN_0342,Male,0,15,62,PhD,2,1
CAN_0343,Male,0,12,35,Master,1,1
CAN_0344,Male,0,12,75,PhD,2,1
CAN_0345,Male,0,15,75,Bachelor,0,1
CAN_0346,Female,1,14,61,Master,1,1
CAN_0347,Female,1,5,60,Bachelor,0,0
CAN_0348,Male,0,13,50,Master,1,1
CAN_0349,Male,0,6,81,Bachelor,0,0
CAN_0350,Female,1,4,83,Master,1,0
CAN_0351,Female,1,4,56,Master,1,1
CAN_0352,Female,1,4,61,Master,1,0
CAN_0353,Female,1,2,69,Bachelor,0,1
CAN_0354,Male,0,4,100,Master,1,1
CAN_0355,Male,0,11,78,Bachelor,0,1
CAN_0356,Female,1,1,55,Bachelor,0,1
CAN_0357,Male,0,12,74,Bachelor,0,1
CAN_0358,Female,1,6,49,Bachelor,0,0
CAN_0359,Female,1,1,80,Bachelor,0,0
CAN_0360,Female,1,10,95,Master,1,1
CAN_0361,Male,0,6,95,Bachelor,0,1
CAN_0362,Female,1,1,81,Bachelor,0,1
CAN_0363,Male,0,6,61,PhD,2,0
CAN_0364,Female,1,10,50,Bachelor,0,0
CAN_0365,Female,1,8,48,Master,1,1
CAN_0366,Male,0,11,30,Master,1,1
CAN_0367,Female,1,2,80,PhD,2,0
CAN_0368,Female,1,2,68,Master,1,0
CAN_0369,Male,0,14,83,Master,1,1
CAN_0370,Male,0,15,91,PhD,2,1
CAN_0371,Male,0,13,71,Bachelor,0,1
CAN_0372,Male,0,12,72,PhD,2,1
CAN_0373,Male,0,4,63,Bachelor,0,0
CAN_0374,Female,1,11,64,PhD,2,1
CAN_0375,Male,0,3,80,Bachelor,0,0
CAN_0376,Male,0,4,67,Master,1,1
CAN_0377,Female,1,13,65,Bachelor,0,1
CAN_0378,Male,0,12,69,Master,1,1
CAN_0379,Female,1,7,83,Bachelor,0,1
CAN_0380,Male,0,13,59,PhD,2,1
CAN_0381,Male,0,11,69,PhD,2,1
CAN_0382,Female,1,1,73,Bachelor,0,0
CAN_0383,Female,1,6,87,PhD,2,1
CAN_0384,Female,1,15,66,Master,1,0
CAN_0385,Female,1,15,59,Master,1,1
CAN_0386,Female,1,3,62,Bachelor,0,0
CAN_0387,Male,0,11,85,Bachelor,0,1
CAN_0388,Male,0,10,100,Bachelor,0,1
CAN_0389,Female,1,7,50,Bachelor,0,0
CAN_0390,Female,1,10,53,PhD,2,1
CAN_0391,Female,1,2,67,Bachelor,0,0
CAN_0392,Male,0,14,71,PhD,2,1
CAN_0393,Male,0,2,81,Bachelor,0,1
CAN_0394,Female,1,13,56,Master,1,1
CAN_0395,Male,0,4,54,Master,1,1
CAN_0396,Female,1,1,72,PhD,2,1
CAN_0397,Female,1,3,66,Bachelor,0,0
CAN_0398,Male,0,13,83,Bachelor,0,1
CAN_0399,Female,1,9,77,Bachelor,0,0
CAN_0400,Female,1,7,78,Bachelor,0,0
CAN_0401,Male,0,15,68,Bachelor,0,1
CAN_0402,Female,1,7,100,Bachelor,0,0
CAN_0403,Female,1,13,57,Bachelor,0,1
CAN_0404,Female,1,13,79,Master,1,1
CAN_0405,Male,0,11,50,Bachelor,0,1
CAN_0406,Female,1,4,53,Bachelor,0,0
CAN_0407,Male,0,2,60,Bachelor,0,1
CAN_0408,Male,0,15,94,Master,1,1
CAN_0409,Female,1,14,73,PhD,2,1
CAN_0410,Male,0,4,61,Master,1,1
CAN_0411,Male,0,6,75,Master,1,1
CAN_0412,Female,1,11,70,Bachelor,0,1
CAN_0413,Female,1,11,62,Master,1,1
CAN_0414,Female,1,3,49,Bachelor,0,1
CAN_0415,Female,1,1,91,Bachelor,0,0
CAN_0416,Male,0,14,73,Master,1,1
CAN_0417,Male,0,12,100,PhD,2,1
CAN_0418,Male,0,8,84,Bachelor,0,1
CAN_0419,Female,1,12,78,Master,1,0
CAN_0420,Female,1,13,63,Master,1,0
CAN_0421,Female,1,5,53,Bachelor,0,0
CAN_0422,Female,1,15,66,Bachelor,0,1
CAN_0423,Male,0,5,53,Bachelor,0,0
CAN_0424,Male,0,11,79,Bachelor,0,0
CAN_0425,Male,0,4,94,Bachelor,0,1
CAN_0426,Female,1,6,66,Bachelor,0,1
CAN_0427,Male,0,3,84,Bachelor,0,0
CAN_0428,Female,1,9,59,Master,1,0
CAN_0429,Male,0,5,65,Master,1,0
CAN_0430,Male,0,3,57,PhD,2,1
CAN_0431,Male,0,11,38,Bachelor,0,0
CAN_0432,Female,1,1,69,Master,1,0
CAN_0433,Female,1,10,71,PhD,2,0
CAN_0434,Male,0,12,85,Master,1,1
CAN_0435,Male,0,6,81,Bachelor,0,1
CAN_0436,Female,1,15,82,Master,1,1
CAN_0437,Male,0,2,55,Bachelor,0,0
CAN_0438,Female,1,13,76,Bachelor,0,1
CAN_0439,Female,1,3,93,Master,1,1
CAN_0440,Male,0,1,75,Master,1,1
CAN_0441,Male,0,9,97,Bachelor,0,1
CAN_0442,Female,1,8,100,PhD,2,1
CAN_0443,Male,0,12,65,Master,1,1
CAN_0444,Male,0,2,59,Bachelor,0,0
CAN_0445,Female,1,15,58,PhD,2,1
CAN_0446,Female,1,12,47,Bachelor,0,1
CAN_0447,Female,1,11,62,PhD,2,1
CAN_0448,Female,1,8,88,Master,1,1
CAN_0449,Male,0,12,36,Bachelor,0,1
CAN_0450,Male,0,14,54,Master,1,1
CAN_0451,Female,1,9,68,Master,1,0
CAN_0452,Female,1,1,56,Master,1,0
CAN_0453,Male,0,13,62,PhD,2,0
CAN_0454,Female,1,5,62,Master,1,0
CAN_0455,Male,0,8,66,Master,1,1
CAN_0456,Male,0,15,59,PhD,2,1
CAN_0457,Male,0,11,57,Master,1,1
CAN_0458,Male,0,14,84,Bachelor,0,1
CAN_0459,Male,0,2,85,PhD,2,1
CAN_0460,Male,0,4,49,Bachelor,0,0
CAN_0461,Male,0,7,30,Master,1,0
CAN_0462,Female,1,3,85,PhD,2,1
CAN_0463,Female,1,13,51,Master,1,1
CAN_0464,Female,1,12,73,Master,1,1
CAN_0465,Female,1,5,46,Master,1,0
CAN_0466,Male,0,8,89,Bachelor,0,1
CAN_0467,Male,0,12,100,PhD,2,1
CAN_0468,Female,1,10,72,Bachelor,0,0
CAN_0469,Male,0,3,68,Bachelor,0,0
CAN_0470,Female,1,4,65,Bachelor,0,0
CAN_0471,Male,0,14,81,Master,1,1
CAN_0472,Female,1,15,78,Master,1,1
CAN_0473,Male,0,9,85,PhD,2,1
CAN_0474,Female,1,14,60,Bachelor,0,1
CAN_0475,Female,1,14,75,Bachelor,0,1
CAN_0476,Female,1,7,61,Bachelor,0,0
CAN_0477,Male,0,1,54,Bachelor,0,0
CAN_0478,Female,1,14,69,Master,1,1
CAN_0479,Female,1,12,56,Bachelor,0,1
CAN_0480,Female,1,4,87,Bachelor,0,0
CAN_0481,Female,1,4,57,Bachelor,0,0
CAN_0482,Female,1,9,75,Bachelor,0,1
CAN_0483,Male,0,6,60,Bachelor,0,0
CAN_0484,Female,1,9,74,Bachelor,0,1
CAN_0485,Female,1,12,62,Master,1,1
CAN_0486,Female,1,15,51,PhD,2,1
CAN_0487,Male,0,6,77,Master,1,0
CAN_0488,Male,0,6,66,PhD,2,1
CAN_0489,Female,1,5,74,Bachelor,0,1
CAN_0490,Female,1,5,63,Master,1,0
CAN_0491,Male,0,2,50,PhD,2,1
CAN_0492,Female,1,8,86,Bachelor,0,1
CAN_0493,Male,0,8,81,PhD,2,1
CAN_0494,Male,0,11,61,Bachelor,0,1
CAN_0495,Male,0,13,71,Bachelor,0,1
CAN_0496,Male,0,1,85,Bachelor,0,1
CAN_0497,Female,1,8,63,Master,1,1
CAN_0498,Male,0,5,65,Master,1,0
CAN_0499,Female,1,2,73,Master,1,1
CAN_0500,Female,1,14,63,Bachelor,0,1
CAN_0501,Female,1,2,82,Bachelor,0,0
CAN_0502,Female,1,14,67,Bachelor,0,1
CAN_0503,Male,0,15,58,Bachelor,0,1
CAN_0504,Female,1,15,79,PhD,2,1
CAN_0505,Female,1,6,52,Bachelor,0,1
CAN_0506,Male,0,11,100,PhD,2,1
CAN_0507,Female,1,13,93,PhD,2,1
CAN_0508,Female,1,9,77,Bachelor,0,1
CAN_0509,Female,1,1,76,Master,1,1
CAN_0510,Female,1,12,75,Bachelor,0,1
CAN_0511,Female,1,6,62,Bachelor,0,0
CAN_0512,Male,0,9,74,Bachelor,0,0
CAN_0513,Female,1,8,56,Master,1,1
CAN_0514,Female,1,11,77,Bachelor,0,0
CAN_0515,Male,0,6,83,Master,1,1
CAN_0516,Male,0,3,64,Master,1,0
CAN_0517,Male,0,8,61,Bachelor,0,1
CAN_0518,Female,1,9,51,Master,1,1
CAN_0519,Female,1,1,91,Master,1,1
CAN_0520,Male,0,12,62,Bachelor,0,1
CAN_0521,Female,1,9,67,Bachelor,0,1
CAN_0522,Male,0,14,74,Master,1,1
CAN_0523,Female,1,15,74,Bachelor,0,1
CAN_0524,Female,1,6,81,Master,1,1
CAN_0525,Female,1,6,64,Bachelor,0,0
CAN_0526,Male,0,12,52,Bachelor,0,1
CAN_0527,Male,0,4,50,Bachelor,0,0
CAN_0528,Male,0,1,61,Bachelor,0,0
CAN_0529,Male,0,10,55,Master,1,1
CAN_0530,Female,1,8,65,Bachelor,0,1
CAN_0531,Female,1,2,89,Master,1,0
CAN_0532,Female,1,12,64,PhD,2,1
CAN_0533,Female,1,1,64,Master,1,0
CAN_0534,Female,1,2,69,Master,1,0
CAN_0535,Female,1,1,63,Bachelor,0,0
CAN_0536,Female,1,1,68,Bachelor,0,0
CAN_0537,Female,1,9,78,Master,1,1
CAN_0538,Male,0,13,83,Bachelor,0,1
CAN_0539,Male,0,14,85,Master,1,1
CAN_0540,Male,0,1,100,Bachelor,0,0
CAN_0541,Female,1,13,78,Master,1,1
CAN_0542,Female,1,4,100,PhD,2,1
CAN_0543,Male,0,10,58,PhD,2,1
CAN_0544,Female,1,6,100,Master,1,1
CAN_0545,Female,1,7,64,Master,1,0
CAN_0546,Male,0,2,65,Master,1,1
CAN_0547,Male,0,6,68,Master,1,1
CAN_0548,Female,1,7,66,Bachelor,0,0
CAN_0549,Female,1,10,71,Bachelor,0,1
CAN_0550,Female,1,14,61,Bachelor,0,1
CAN_0551,Female,1,10,82,PhD,2,1
CAN_0552,Female,1,2,61,Bachelor,0,0
CAN_0553,Female,1,15,79,Master,1,1
CAN_0554,Female,1,2,92,Master,1,1
CAN_0555,Female,1,10,64,Master,1,0
CAN_0556,Male,0,7,81,Master,1,1
CAN_0557,Male,0,12,78,Bachelor,0,1
CAN_0558,Male,0,1,100,Master,1,1
CAN_0559,Female,1,8,62,PhD,2,1
CAN_0560,Female,1,11,81,Bachelor,0,1
CAN_0561,Female,1,13,45,Bachelor,0,0
CAN_0562,Male,0,3,62,Master,1,1
CAN_0563,Male,0,11,75,PhD,2,1
CAN_0564,Male,0,6,90,Bachelor,0,1
CAN_0565,Male,0,9,51,Master,1,0
